EmployeesSK,EmployeeId,Date,FirstArrival,LastCompletion,EarlyStart,LateStart,EarlyFinish,LateFinish,TravelTime
1001,OP_CSP1_01,2026-03-13,2026-03-13T07:50:00,2026-03-13T16:12:00,Y,N,Y,N,57
1001,OP_CSP1_01,2026-03-16,2026-03-16T07:49:00,2026-03-16T15:50:00,Y,N,Y,N,36
1001,OP_CSP1_01,2026-03-17,2026-03-17T07:42:00,2026-03-17T15:57:00,Y,N,Y,N,65
1001,OP_CSP1_01,2026-03-18,2026-03-18T07:49:00,2026-03-18T16:15:00,Y,N,Y,N,47
1001,OP_CSP1_01,2026-03-19,2026-03-19T07:51:00,2026-03-19T16:16:00,Y,N,Y,N,25
1001,OP_CSP1_01,2026-03-20,2026-03-20T07:45:00,2026-03-20T15:48:00,Y,N,Y,N,57
1001,OP_CSP1_01,2026-03-23,2026-03-23T07:43:00,2026-03-23T15:47:00,Y,N,Y,N,61
1001,OP_CSP1_01,2026-03-24,2026-03-24T07:40:00,2026-03-24T16:04:00,Y,N,Y,N,29
1001,OP_CSP1_01,2026-03-25,2026-03-25T07:43:00,2026-03-25T15:47:00,Y,N,Y,N,49
1001,OP_CSP1_01,2026-03-26,2026-03-26T07:52:00,2026-03-26T16:09:00,Y,N,Y,N,24
1001,OP_CSP1_01,2026-03-27,2026-03-27T07:46:00,2026-03-27T16:20:00,Y,N,Y,N,52
1001,OP_CSP1_01,2026-03-30,2026-03-30T07:53:00,2026-03-30T16:21:00,Y,N,Y,N,63
1001,OP_CSP1_01,2026-03-31,2026-03-31T07:41:00,2026-03-31T15:58:00,Y,N,Y,N,51
1001,OP_CSP1_01,2026-04-01,2026-04-01T07:44:00,2026-04-01T16:20:00,Y,N,Y,N,26
1001,OP_CSP1_01,2026-04-02,2026-04-02T07:47:00,2026-04-02T16:05:00,Y,N,Y,N,56
1001,OP_CSP1_01,2026-04-03,2026-04-03T07:50:00,2026-04-03T16:02:00,Y,N,Y,N,33
1001,OP_CSP1_01,2026-04-06,2026-04-06T07:53:00,2026-04-06T16:00:00,Y,N,Y,N,27
1001,OP_CSP1_01,2026-04-07,2026-04-07T07:51:00,2026-04-07T16:22:00,Y,N,Y,N,56
1001,OP_CSP1_01,2026-04-08,2026-04-08T07:54:00,2026-04-08T15:59:00,Y,N,Y,N,20
1001,OP_CSP1_01,2026-04-09,2026-04-09T07:49:00,2026-04-09T16:08:00,Y,N,Y,N,58
1001,OP_CSP1_01,2026-04-10,2026-04-10T07:42:00,2026-04-10T16:07:00,Y,N,Y,N,32
1001,OP_CSP1_01,2026-04-13,2026-04-13T07:48:00,2026-04-13T16:10:00,Y,N,Y,N,23
1001,OP_CSP1_01,2026-04-14,2026-04-14T07:45:00,2026-04-14T16:30:00,Y,N,N,N,28
